product_name,product_description,product_rating,product_price,regular_price,product_url
Bielenda Professional Energy Boost,"energetyzująco-nawilżający krem z ultrastabilną witaminą C, 50 ml",(46),54.99,69.99,/bielenda-professional-energetyzujaco-nawilzajacy-krem50ml-000000000000357725.html
Bandi Anti Acne,"kremowa kuracja antytrądzikowa do twarzy, 50 ml",(18),46.99,46.99,/bandi-kuracja-do-twarzy-30ml-000000000000281889.html
Dermika Esthetic Solutions,"przeciwzmarszczkowy krem do twarzy, 50 ml",(14),39.99,89.99,/dermika-przeciwzmarszczkowy-krem-do-twarzy-50-ml-000000000000413832.html
Ziaja Sopot Sun,"ochronna emulsja z filtrem SPF30 do twarzy i ciała, 100 ml",(6),22.99,22.99,/ziaja-ochronna-emulsja-z-filtrem-spf30-do-twarzy-i-ciala-100-ml-000000000000437748.html
Resibo Sun To The People,"lekki krem do twarzy i ciała SPF50, 50 ml",(2),45.99,58.99,/resibo-lekki-krem-do-twarzy-i-ciala-spf50-50-ml-000000000000438516.html
Ziaja med,"krem tonujący SPF50+ do twarzy, 50 ml",(41),28.99,28.99,/ziaja-med-krem-tonujacy-spf50-do-twarzy-50-ml-000000000000247022.html
Tołpa Dermo Face Sebio,"matujący krem BB korygujący na dzień SPF30, 40 ml",(55),39.99,39.99,/tolpa-matujacy-krem-bb-korygujacy-na-dzien-spf30-40-ml-000000000000367856.html
Tołpa Dermo Face Sebio+,"korygujący niedoskonałości CICA-KREM, 40 ml",(94),27.99,39.99,/tolpa-korygujacy-niedoskonalosci-cica-krem-40-ml-000000000000362536.html
Pharmaceris S,"ultra ochronny krem dla skóry naczynkowej i z trądzikiem różowatym SPF50+, 50 ml",(49),55.99,55.99,/pharmaceris-ultra-ochronny-krem-dla-skory-naczynkowej-i-z-tradzikiem-rozowatym-spf50-50-ml-000000000000411476.html
Holika Holika Black Snail,"krem przeciwzmarszczkowy do twarzy, 50 ml",(15),59.99,99.99,/holika-holika-krem-przeciwzmarszczkowy-do-twarzy-50-ml-000000000000380838.html
Bioliq Dermo,"krem rozjaśniający przebarwienia, 50 ml",(12),17.49,24.99,/bioliq-krem-rozjasniajacy-przebarwienia-50ml-000000000000278231.html
Bandi Medical Expert Anti Dark Spot,"emulsja silnie rozjaśniająca przebarwienia na twarzy, 50 ml",(7),79.99,79.99,/bandi-emulsja-silnie-rozjasniajaca-przebarwienia-na-twarzy-50-ml-000000000000428284.html
AA LAAB,"naprawczy krem do twarzy na noc, 40 ml",,39.99,39.99,/aa-naprawczy-krem-do-twarzy-na-noc-40-ml-000000000000450259.html
Pureheals Rose Blemish,"nawilżająco-ujędrniający krem do twarzy, 50 ml",(44),139.99,139.99,/pureheals-nawilzajaco-ujedrniajacy-krem-do-twarzy-50-ml-000000000000420813.html
Ziaja med Siemię Lniane,"ultra odżywczy krem do twarzy, 50 ml",(8),14.99,14.99,/ziaja-med-ultra-odzywczy-krem-do-twarzy-50-ml-000000000000436728.html
